ID,Country,Continent
25105,Singapore,Asia
85940,Cape Verde,Africa
170220,Turkey,Asia
175000,Cyprus,Asia
266970,Burundi,Africa
286790,Kazakhstan,Asia
353946,Armenia,Asia
369820,Kyrgyzstan,Asia
372600,Georgia,Asia
375750,Azerbaijan,Asia
381410,Uzbekistan,Asia
381412,Turkmenistan,Asia
381413,Tajikistan,Asia
400010,Syria,Asia
401000,Lebanon,Asia
401540,Israel,Asia
402500,Jordan,Asia
403560,Saudi Arabia,Asia
404270,Bahrain,Asia
404280,Qatar,Asia
404480,United Arab Emirates,Asia
405520,Kuwait,Asia
405750,Oman,Asia
405760,Yemen,Asia
406080,Iraq,Asia
407060,Iran,Asia
409480,Afghanistan,Asia
415300,Pakistan,Asia
418580,Bangladesh,Asia
420710,India,Asia
434000,Sri Lanka,Asia
435550,Maldives,Asia
442070,Mongolia,Asia
450040,China,Asia
450110,Macau,Asia
466860,Taiwan,Asia
472185,Japan,Asia
483000,Thailand,Asia
486000,Malaysia,Asia
488030,Vietnam,Asia
489300,Laos,Asia
489660,Cambodia,Asia
601010,Morocco,Africa
603510,Algeria,Africa
607100,Tunisia,Africa
610240,Niger,Africa
612190,Malawi,Africa
612260,Mali,Africa
614150,Mauritania,Africa
616000,Senegal,Africa
618320,Guinea,Africa
619670,British Indian Ocean Territory,Asia
619740,Mauritius,Africa
620020,Libya,Africa
623060,Egypt,Africa
626410,Sudan,Africa
631250,Djibouti,Africa
636120,Kenya,Africa
637050,Uganda,Africa
637330,Tanzania,Africa
639800,Seychelles,Africa
644000,Congo,Africa
645000,Gabon,Africa
646500,Central African Republic,Africa
647000,Chad,Africa
649100,Cameroon,Africa
653300,Benin,Africa
653870,Togo,Africa
654720,Ghana,Africa
655020,Burkina Faso,Africa
656600,Liberia,Africa
661040,Angola,Africa
670050,Mayotte,Africa
670090,Madagascar,Africa
672370,Mozambique,Africa
676650,Zambia,Africa
677610,Zimbabwe,Africa
680140,Namibia,Africa
680240,Botswana,Africa
681740,South Africa,Africa
683960,Swaziland,Africa
711071,Comoros,Africa
960350,Indonesia,Asia
963150,Brunei,Asia
969950,Christmas Island,Asia
969960,Cocos (Keeling) Islands,Asia
981350,Philippines,Asia
